,title,datetime,link,positive,negative,polarity
4,Ruckus in Odisha Assembly over 2 rape incidents,2018-04-16,https://www.thestatesman.com/india/ruckus-in-odisha-assembly-over-2-rape-incidents-1502622879.html,0,7,-0.215385
3,Pratap Jena denies Puri temple deities ‘starved,2018-04-19,https://www.thestatesman.com/cities/pratap-jena-denies-puri-temple-deities-starved-1502624349.html,8,6,-0.0475269
2,Ariel 2018: Lista de nominados y ganadores,2018-04-23,https://www.cinepremiere.com.mx/nominados-ariel-2018-ganadores.html,1,0,0.222222
1,Pay special attention to Konark temple,2018-11-24,https://www.orissapost.com/pay-special-attention-to-konark-temple/,3,3,-0.0267857
0,Justin Rene’s career night leads Long Beach Poly boys basketball over Bishop Amat,2018-12-12,https://www.presstelegram.com/justin-renes-career-night-leads-long-beach-poly-boys-basketball-over-bishop-amat,15,6,0.105201
8,St. Anthony’s softball puts Bishop Amat’s league title celebration on hold,2019-04-11,https://www.sgvtribune.com/st-anthonys-softball-puts-bishop-amats-league-title-celebration-on-hold,14,23,-0.00246811
7,Kelvin Bender regroups on the mound to lead Serra baseball to win over Bishop Amat,2019-04-15,https://www.dailybreeze.com/kelvin-bender-regroups-on-the-mound-to-lead-serra-baseball-to-win-over-bishop-amat,28,11,0.110223
6,Bishop Amat baseball ends Del Rey League play with a resounding victory over Serra,2019-04-17,https://www.sgvtribune.com/bishop-amat-baseball-ends-del-rey-league-play-with-a-resounding-victory-over-serra,11,14,0.0251756
5,Applied Materials (AMAT) Gains As Market Dips: What You Should Know,2019-04-24,https://finance.yahoo.com/news/applied-materials-amat-gains-market-214509029.html,11,12,0.0266163
12,Bryce Young leads way as Mater Dei crushes Bishop Amat in Division 1 quarterfinals,2019-11-15,https://www.ocregister.com/2019/11/15/bryce-young-leads-way-as-mater-dei-crushes-bishop-amat-in-division-1-quarterfinals,24,6,0.0842325
11,Walnut will face Bishop Amat in championship of Glendora boys basketball tournament,2019-12-13,https://www.sgvtribune.com/2019/12/13/walnut-will-face-bishop-amat-in-championship-of-glendora-boys-basketball-tournament,30,2,0.119206
10,55th Annual Christmas Classic Basketball Tournament Tips Off in Atascadero,2019-12-26,https://atascaderonews.com/news/sports/55th-annual-christmas-classic-basketball-tournament-tips-off-in-atascadero/,2,1,0.004375
9,AG Boys Earn Christmas Classic Title • Atascadero News,2019-12-30,https://atascaderonews.com/news/sports/ag-boys-earn-christmas-classic-title/,9,5,0.0334473
17,"Impact Statement: For Dyson McCutcheon, 'If you're a DB, you want to play for Washington'",2020-06-14,https://www.si.com/college/washington/recruiting/impact-statement-dyson-mccutcheon-commits-to-washington,7,5,0.0803968
16,Gambia: D38.5 Million Scandal and GT Board staff sent home at 50% pay,2020-06-15,https://www.freedomnewspaper.com/2020/06/15/gambia-d38-5-million-scandal-and-gt-board-staff-sent-home-at-50-pay/,5,7,-0.0570398
15,Bishop Amat football replaces road trip with home game against defending state champion St. John Bosco,2020-06-23,https://www.sgvtribune.com/2020/06/23/bishop-amat-football-replaces-road-trip-with-home-game-against-defending-state-champion-st-john-bosco-on-sept-4,22,7,0.136899
14,GAMBIA: DISGRUNTLED TOURISM STAFFERS TAKE ISSUE WITH THEIR MINISTER,2020-06-27,https://www.freedomnewspaper.com/2020/06/27/gambia-disgruntled-tourism-staffers-take-issue-with-their-minister/,5,5,0.0521843
