,title,datetime,link,positive,negative,polarity
4,Better Buy: Lam Research vs. Applied Materials,2018-07-16,https://www.fool.com/investing/2018/07/16/better-buy-lam-research-vs-applied-materials.aspx,26,2,0.151246
3,Own These 3 Chip Stocks on AMD's Massive Earnings Beat,2018-07-26,https://www.thestreet.com/investing/own-these-3-best-chip-stocks-on-amd-massive-earnings-beat-14663216,35,13,0.150259
2,Lam Research and ASML's Outlooks Suggest Bad Chip Equipment News Is Priced In,2018-10-18,https://www.thestreet.com/technology/lam-research-and-asmls-outlooks-suggest-bad-chip-equipment-news-is-priced-in-14749028,13,13,0.00609624
0,Lam Research Corporation Announces Martin Anstice Resigns,2018-12-05,https://www.globenewswire.com/news-release/2018/12/05/1662705/0/en/Lam-Research-Corporation-Announces-Martin-Anstice-Resigns-as-Chief-Executive-Officer-Tim-Archer-Appointed-as-President-and-Chief-Executive-Officer.html,11,4,0.145712
1,"Lam Research CEO leaves amid misconduct inquiry, fourth chip boss this year to face such allegations",2018-12-05,https://www.marketwatch.com/story/lam-research-ceo-leaves-amid-misconduct-inquiry-fourth-chip-boss-this-year-to-face-such-allegations-2018-12-05,8,8,0.0354368
10,Lam Research Corporation Announces December Quarter Financial Conference Call,2019-01-09,https://www.globenewswire.com/en/news-release/2019/01/09/1685815/0/en/Lam-Research-Corporation-Announces-December-Quarter-Financial-Conference-Call.html,4,0,0.25
9,Lam Research (LRCX) Q2 2019 earnings report,2019-01-23,https://news.alphastreet.com/lam-research-lrcx-q2-2019-earnings-results/,1,5,-0.033642
8,Lam Research Is Leaving Buyers in the Dust - A Sign of Strength,2019-02-05,https://realmoney.thestreet.com/investing/lam-research-is-leaving-buyers-in-the-dust-a-sign-of-strength-14856101,8,8,0.0498978
7,Semiconductor Stocks Jump After Broadcom Earnings,2019-03-18,https://www.investopedia.com/semiconductor-stocks-jump-after-broadcom-earnings-4589330,13,9,0.106783
6,Lam Research stock gains after big earnings beat,2019-04-24,https://www.marketwatch.com/story/lam-research-stock-gains-after-big-earnings-beat-2019-04-24,3,1,0.0104444
5,3 Semiconductor Stocks to Buy Right Now,2019-05-09,https://finance.yahoo.com/news/3-semiconductor-stocks-buy-now-173105560.html,21,11,0.134069
